AllschwilBaslerstrasse1;AllschwilBaslerstrasse2;97.73
AllschwilBaslerstrasse1;AllschwilLerchenweg1;158.85
AllschwilBaslerstrasse2;AllschwilBaslerstrasse3;189.2
AllschwilBaslerstrasse2;AllschwilSpitzwaldstrasse3;153.39
AllschwilBaslerstrasse3;AllschwilBaslerstrasse4;53.42
AllschwilBaslerstrasse3;AllschwilSpitzwaldstrasse6;154.86
AllschwilBaslerstrasse4;AllschwilBaslerstrasse5;221.52
AllschwilBaslerstrasse4;AllschwilSpitzwaldstrasse7;142.09
AllschwilBaslerstrasse5;AllschwilBaslerstrasse6;66.11
AllschwilBaslerstrasse5;AllschwilSpitzwaldstrasse8;99.34
AllschwilBaslerstrasse6;AllschwilBaslerstrasse7;63.76
AllschwilBaslerstrasse6;AllschwilSchuetzenweg7;184.41
AllschwilBaslerstrasse7;AllschwilCarmenstrasse4;145.22
AllschwilSpitzwaldstrasse1;AllschwilSpitzwaldstrasse2;111.01
AllschwilSpitzwaldstrasse2;AllschwilLerchenweg1;51.61
AllschwilSpitzwaldstrasse2;AllschwilSpitzwaldstrasse3;46.4
AllschwilSpitzwaldstrasse3;AllschwilSpitzwaldstrasse4;54.29
AllschwilSpitzwaldstrasse3;AllschwilSchuetzenweg2;135.66
AllschwilSpitzwaldstrasse4;AllschwilSpitzwaldstrasse5;83.54
AllschwilSpitzwaldstrasse4;AllschwilSchuetzenweg3;123.84
AllschwilSpitzwaldstrasse5;AllschwilSpitzwaldstrasse6;45.60
AllschwilSpitzwaldstrasse5;AllschwilSchuetzenweg5;109.45
AllschwilSpitzwaldstrasse6;AllschwilSpitzwaldstrasse7;50.74
AllschwilSpitzwaldstrasse6;AllschwilSchuetzenweg6;102.82
AllschwilSpitzwaldstrasse7;AllschwilSpitzwaldstrasse8;57.37
AllschwilSpitzwaldstrasse7;AllschwilSchuetzenweg7;95.56
AllschwilSpitzwaldstrasse8;AllschwilSpitzwaldhof1;72.11
AllschwilSchuetzenweg1;AllschwilLerchenweg1;153.15
AllschwilSchuetzenweg1;AllschwilSchuetzenweg2;99.37
AllschwilSchuetzenweg2;AllschwilSchuetzenweg3;53.87
AllschwilSchuetzenweg2;BaselImLangenLoh1;171.22
AllschwilSchuetzenweg3;AllschwilSchuetzenweg4;20.75
AllschwilSchuetzenweg4;AllschwilSchuetzenweg5;65.69
AllschwilSchuetzenweg4;AllschwilCarmenstrasse1;70.24
AllschwilSchuetzenweg5;AllschwilSchuetzenweg6;45.16
AllschwilSchuetzenweg6;AllschwilSchuetzenweg7;47.44
AllschwilSchuetzenweg6;AllschwilCarmenstrasse3;78.61
AllschwilCarmenstrasse1;AllschwilCarmenstrasse2;40.44
AllschwilCarmenstrasse1;BaselImLangenLoh2;87.9
AllschwilCarmenstrasse2;AllschwilCarmenstrasse3;80.92
AllschwilCarmenstrasse2;BaselImLangenLoh3;81.21
AllschwilCarmenstrasse3;AllschwilCarmenstrasse4;88.34
AllschwilCarmenstrasse4;BaselImLangenLoh4;61.57
BaselImLangenLoh1;BaselImLangenLoh2;79.96
BaselImLangenLoh2;BaselImLangenLoh3;42.45
BaselImLangenLoh3;BaselImLangenLoh4;164.48
BaselImLangenLoh3;BaselPilatusstrasse1;68.61
BaselImLangenLoh4;BaselRigistrasse3;56.38
BaselPilatusstrasse1;BaselRigistrasse1;50.97
BaselPilatusstrasse1;BaselRigistrasse2;81.58
BaselRigistrasse1;BaselRigistrasse2;60.24
BaselRigistrasse2;BaselRigistrasse3;97.47
AllschwilBaslerstrasse7;BaselAllschwilerstrasse1;78.03
BaselRigistrasse1;BaselGottfriedKellerStrasse1;74.7
Basel/Allschwilerstrasse/1;Basel/Allschwilerstrasse/2;179.7
